source_file,page,resposta_social,tipo_acordo,n_medio_utentes,n_medio_funcionarios,n_meses,is_ocr,vendas,servicos_prestados,servicos_prestados_particulares,subsidios_publicos,iss_ip,iss_ip_2,outros_rendimentos,custo_mercadorias,fse,gastos_pessoal,outros_gastos,ebitda,depreciacao,resultado_liquido,ss_funding_authoritative,_comparticipacoes_matched_key,concelho,centro_distrital,ano,activity_group,ss_funding,revenue,total_cost,labour_cost,monthly_revenue,monthly_fee,monthly_social_security_funding,monthly_cost,monthly_ebitda,monthly_labour_cost,monthly_revenue_per_beneficiary,monthly_fee_per_beneficiary,monthly_social_security_funding_per_beneficiary,monthly_cost_per_beneficiary,monthly_ebitda_per_beneficiary,monthly_revenue_per_worker,monthly_cost_per_worker,monthly_labour_cost_per_worker,beneficiary_worker_ratio,ss_funding_cost_coverage_ratio,institution_id,equipment_id
OCIP 5_24.pdf,3,1104 - ESTABELECIMENTO DE EDUCAÇÃO PRÉ-ESCOLAR,Típico Tipo de Atividade:,39.0,8.0,12.0,False,0.0,106449.75,20214.5,13926.32,0.0,0.0,22381.48,-20866.17,-43307.54,-121109.72,-2573.94,-45073.12,-15564.44,-62121.74,,,PESO DA RÉGUA,,2024,Infância,13926.32,142757.55,187857.37,121109.72,11896.46,8870.81,1160.53,15654.78,-3756.09,10092.48,305.04,43.19,0.0,401.4,-96.37,1487.06,1956.85,1261.56,4.88,2.89,INST_385e9951,EQUIP_0778164c
OCIP 5_24.pdf,4,2101 - SERVIÇO DE APOIO DOMICILIÁRIO,Típico Tipo de Atividade:,36.0,9.0,12.0,False,0.0,206035.97,57061.29,25200.72,0.0,0.0,12660.19,-23884.87,-30372.74,-151768.69,-194.61,37693.77,-10376.24,25837.49,,,PESO DA RÉGUA,,2024,Idosos,25200.72,243896.88,206220.91,151768.69,20324.74,17169.66,2100.06,17185.08,3141.15,12647.39,564.58,132.09,0.0,477.36,87.21,2258.3,1909.45,1405.27,4.0,4.4,INST_385e9951,EQUIP_0778164c
OCIP 6_24.pdf,2,1103 - CRECHE,Típico Tipo de Atividade:,34.0,14.0,12.0,False,0.0,206918.98,14302.65,9511.19,0.0,0.0,3739.8,-14003.77,-29433.12,-135454.18,-97.18,41181.72,-6824.62,34359.25,,,SANTO TIRSO,,2024,Infância,9511.19,220169.97,178988.25,135454.18,18347.5,17243.25,792.6,14915.69,3431.81,11287.85,539.63,35.06,0.0,438.7,100.94,1310.54,1065.41,806.27,2.43,1.81,INST_66fbbdb7,EQUIP_dfedf40e
OCIP 6_24.pdf,3,2101 - SERVIÇO DE APOIO DOMICILIÁRIO,Típico Tipo de Atividade:,15.0,14.0,12.0,False,0.0,128236.3,49948.6,6182.27,0.0,0.0,2430.87,-9102.45,-19131.53,-88045.21,-63.17,20507.08,-4436.0,16072.48,,,SANTO TIRSO,,2024,Idosos,6182.27,136849.44,116342.36,88045.21,11404.12,10686.36,515.19,9695.2,1708.92,7337.1,760.27,277.49,0.0,646.35,113.93,814.58,692.51,524.08,1.07,0.8,INST_66fbbdb7,EQUIP_dfedf40e
OCIP 6_24.pdf,4,2103 - CENTRO DE DIA,Típico Tipo de Atividade:,12.0,14.0,12.0,False,0.0,77421.63,49386.95,4280.04,0.0,0.0,1682.91,-6301.7,-13244.9,-60954.38,-43.73,2839.87,-3071.08,-230.24,,,SANTO TIRSO,,2024,Idosos,4280.04,83384.58,80544.71,60954.38,6948.72,6451.8,356.67,6712.06,236.66,5079.53,579.06,342.96,0.0,559.34,19.72,496.34,479.43,362.82,0.86,0.64,INST_66fbbdb7,EQUIP_dfedf40e
OCIP 6_24.pdf,5,2107 - ESTRUTURA RESIDENCIAL PARA PESSOAS IDOSAS,Típico Tipo de Atividade:,30.0,26.0,12.0,False,0.0,508459.64,269481.12,27582.43,0.0,0.0,10845.42,-40610.93,-85356.04,-392817.11,-281.82,27821.59,-19791.39,8036.44,,,SANTO TIRSO,,2024,Idosos,27582.43,546887.49,519065.9,392817.11,45573.96,42371.64,2298.54,43255.49,2318.47,32734.76,1519.13,748.56,0.0,1441.85,77.28,1752.84,1663.67,1259.03,1.15,1.59,INST_66fbbdb7,EQUIP_dfedf40e
OCIP 8_24.pdf,2,2107 - ESTRUTURA RESIDENCIAL PARA PESSOAS IDOSAS,Típico Tipo de Atividade:,73.0,52.0,12.0,False,0.0,752682.94,750119.94,457040.55,432045.38,0.0,75844.15,-133874.18,-103350.52,-797279.25,-162.78,250900.91,-84656.07,107471.4,,,AMARES,,2024,Idosos,457040.55,1285567.64,1034666.73,797279.25,107130.64,62723.58,38086.71,86222.23,20908.41,66439.94,1467.54,856.3,493.2,1181.13,286.42,2060.2,1658.12,1277.69,1.4,32.25,INST_c3d659e5,EQUIP_53a3f1f5
OCIP 9_24.pdf,2,1103 - CRECHE,Típico Tipo de Atividade:,43.0,9.0,12.0,False,0.0,251473.95,0.0,9183.75,0.0,0.0,1656.72,-22516.3,-23304.3,-208569.77,-143.0,7781.05,-4237.12,2745.95,,,SALVATERRA DE MAGOS,,2024,Infância,9183.75,262314.42,254533.37,208569.77,21859.54,20956.16,765.31,21211.11,648.42,17380.81,508.36,0.0,0.0,493.28,15.08,2428.84,2356.79,1931.2,4.78,1.55,INST_aaaf5294,EQUIP_ed7ab870
OCIP 9_24.pdf,3,2101 - SERVIÇO DE APOIO DOMICILIÁRIO,Típico Tipo de Atividade:,32.0,5.0,12.0,False,0.0,175959.56,75893.09,9534.08,0.0,0.0,13973.0,-15413.15,-13439.19,-82233.7,-30.0,88350.6,-18810.23,69357.39,,,SALVATERRA DE MAGOS,,2024,Idosos,9534.08,199466.64,111116.04,82233.7,16622.22,14663.3,794.51,9259.67,7362.55,6852.81,519.44,197.64,0.0,289.36,230.08,3324.44,1851.93,1370.56,6.4,2.75,INST_aaaf5294,EQUIP_ed7ab870
OCIP 9_24.pdf,4,2103 - CENTRO DE DIA,Típico Tipo de Atividade:,44.0,7.0,12.0,False,0.0,127615.31,35750.6,22137.57,0.0,0.0,3044.64,-43442.75,-51121.43,-134330.52,-395.0,-76492.18,-16543.34,-94604.47,,,SALVATERRA DE MAGOS,,2024,Idosos,22137.57,152797.52,229289.7,134330.52,12733.13,10634.61,1844.8,19107.47,-6374.35,11194.21,289.39,67.71,0.0,434.26,-144.87,1819.02,2729.64,1599.17,6.29,4.25,INST_aaaf5294,EQUIP_ed7ab870
OCIP_10_24.pdf,2,2101 - SERVIÇO DE APOIO DOMICILIÁRIO,Típico Tipo de Atividade:,10.0,6.0,12.0,False,0.0,41696.68,41696.68,49151.16,46849.78,0.0,1835.46,-17574.8,-14440.38,-79663.61,-96.44,-19091.93,-11210.26,-31010.37,,,TORRES NOVAS,,2024,Idosos,49151.16,92683.3,111775.23,79663.61,7723.61,3474.72,4095.93,9314.6,-1590.99,6638.63,772.36,347.47,390.41,931.46,-159.1,1287.27,1552.43,1106.44,1.67,4.4,INST_0ddfde1e,EQUIP_dd661a6a
OCIP_10_24.pdf,3,2103 - CENTRO DE DIA,Típico Tipo de Atividade:,15.0,6.0,12.0,False,0.0,0.0,0.0,6121.84,6121.84,0.0,1077.98,0.0,0.0,-12521.47,0.0,-5321.65,-4588.99,-9910.64,,,TORRES NOVAS,,2024,Idosos,6121.84,7199.82,12521.47,12521.47,599.98,0.0,510.15,1043.46,-443.47,1043.46,40.0,0.0,34.01,69.56,-29.56,100.0,173.91,173.91,2.5,7.33,INST_0ddfde1e,EQUIP_dd661a6a
OCIP_10_24.pdf,4,2107 - ESTRUTURA RESIDENCIAL PARA PESSOAS IDOSAS,Típico Tipo de Atividade:,28.0,20.0,12.0,False,0.0,360124.8,360124.8,223665.82,201528.9,0.0,29312.02,-65311.4,-101242.17,-432981.81,-1063.87,12503.39,-13830.71,-5678.33,,,TORRES NOVAS,,2024,Idosos,223665.82,613102.64,600599.25,432981.81,51091.89,30010.4,18638.82,50049.94,1041.95,36081.82,1824.71,1071.8,599.79,1787.5,37.21,2554.59,2502.5,1804.09,1.4,10.43,INST_0ddfde1e,EQUIP_dd661a6a
